	title	etime	content	vote	comment
0	내가 이제 26살인데	방금	그동안 3천정도 모아둔 돈이 있는데  20대 초반을 보내면서 하고 싶은거 다해보면서 돈을 500정도 남기고 다 썼거든.  해외나가서 외국사람들이	0	1
1	치킨빼고 치즈볼만 먹고싶다	2분 전	ㅠㅅㅠ	0	0
2	지금 학교 다니는 남자 21학번은	2분 전	군대 안간거누	0	2
3	약대	3분 전	학부몇학번부터 생겼어?	0	0
4	낼 경영과 사회 ㄹㅅㅇ	3분 전	대면 맞지??	0	0
5	원가회계 공부하신분.,	4분 전	전 5장이 너무 어렵습니다..	0	0
6	공.부.시.러.	4분 전	하.기.시.러	0	1
7	사회적가치와개인의자유	6분 전	교수님 저 걍 안할게여 암기가 너무 싫어여 죄송해여 전공이 저 재밌어서.. 이거 못하겠어요	0	0
8	내일 투자론 ㅈㅎㄱ교수님꺼 포기안한 사람?	7분 전	나는 포기한 사람 ㅎㅎ	0	0
9	공2 쪽문에서 지갑잃어리신분	7분 전	02년생 김다혜씨 쪽지주세요~	0	0
10	잘 하는 게 없으면	8분 전	일단 돈이라도 버는 게 맞지?	0	0
11	근데왜	8분 전	올해는 월드컵을 겨울에해 춥게	0	2
12	쪽문에 붕어빵	8분 전	오늘도 있나요?	0	2
13	그 핫게 교수님 냥이	10분 전	입양하면 소식 올려주라...! 부탁해 너무 망충하고 하찮아서 귀엽더라... 아기고양이...	0	0
14	나같은 스타일있나?	10분 전	공부할때 개념이나 원리 같은건 이해 잘하고 증명이나 유도과정도 혼자 끄적이면서 이해 잘하는데 막상 문제 주어지면 쓰는걸 잘 못함 ㅠㅠ 그래서 개	0	3
15	행정학개론	11분 전	ㅇㅅㄱ교수님 화요일 수업하는 거 맞지?	0	0
16	디자인과 생활	12분 전	디자인과 생활 중간고사 보나요 ??????	0	0
17	나랑 랜소 예행연습할사람?	13분 전	쪽지줘~	0	1
18	24년 전역	14분 전	오긴 오냐	1	11
19	여친 ㅈㄴ질리는데 헤어질 구실좀..	16분 전	너무 애같아서 정 다 털림 초딩 만나는 느낌	0	10
20	도서관인사람	17분 전	공부끝나고 12시에 같이 집갈사람 구해요~!	0	4
21	운동종목 남/여 차이	17분 전	거의 앵간한 운동 종목에서 남자가 여자보다 운동성능이 훨씬 월등하잖아 체격 차이라든지 폭발적인 힘 차이라든지 여러 이유에서! 남여 격차가 많이 	0	25
22	영어 발음기호	18분 전	나만 볼줄몰라…? 난 안배웠는데	0	3
23	분리수거 막 하는 애들은	23분 전	교육 못 받은거임? 분리수거 방법을 몰라도 저렇게 까지는 안할텐데 왜 저렇게 하는지 참 궁금하네	0	5
24	티빙 한 자리 남는 사람	25분 전	딱 한 달만 하고 싶어 껴 줘..	0	3
25	배우 김유정	25분 전	은 남자들한테 인기 많음? 내 눈엔 되게 예쁜데	0	11
26	이거 다들 어떻게 생각함??	27분 전	난 존나 사회성 결여 + 쿨한척하는 사람같다고 생각함	0	15
27	나처럼 생각하는 사람있냐	29분 전	주변 보면 악착같이 돈 모으고 아끼는 사람들이 종종 있는데   나는 젊을때 대충 이십초반까지는 돈 모으기 보다는  사고 싶은거 사거나 여행 다니	0	12
28	진지하게 와꾸 궁금하다	31분 전	방구석에서 허벅지 긁지말고 앞에서 씨부려봐 너땜에 한남소리 듣지 ㅂ1신아	0	6
29	우리 형 밭대 17학번	31분 전	나랑 수능 성적 비슷함	0	4
30	라인 오랜만에 깔았는데	33분 전	카톡 때문에 깔았는데  몇 명 이성 친구들 어렸을 때 설정해둔 프로필 사진 다 보임 .. 흑역사도 몇 명 있어 보이고 ㅋㅋㅋㅋ 개웃겨	0	2
31	언교원 영어회화 들을만 할까요	36분 전	고민되네ㅠ	0	8
32	의치수약간 1학년으로 보내주면	36분 전	가니? 타전공생들만	0	12
33	5동 쓰레기장 진짜 누구냐	37분 전	짜장면 엎어놓고 튄거 싸대기 마렵네	1	0
34	복학생인데 공부해도 잘 모르겠다	38분 전	복학하니까 회계나 채권같이 계산하는건 감이 안잡힘 경상대는 시험 망치면 F주는곳 많음?	0	2
35	작년에 ㅇㅅㅇ교수님 생화학 들으신분 계신가요?	38분 전	??	0	5
36	법학개론 ㅇㅇㅅ교수님	41분 전	내일 대면이야...?	0	1
37	마케팅관리 ㄱㅎㅈ 교수님	41분 전	필기 구해봅니다..ㅠㅠ	0	2
38	너네 시험 전날에 교양	44분 전	대충 몇시간 보고 가냐??	0	3
39	해치웟나??	45분 전	경제학과 아니라서 잘모르겟다	0	1
40	내가 이제 26살인데	방금	그동안 3천정도 모아둔 돈이 있는데  20대 초반을 보내면서 하고 싶은거 다해보면서 돈을 500정도 남기고 다 썼거든.  해외나가서 외국사람들이	0	1
41	치킨빼고 치즈볼만 먹고싶다	2분 전	ㅠㅅㅠ	0	0
42	지금 학교 다니는 남자 21학번은	2분 전	군대 안간거누	0	2
43	약대	3분 전	학부몇학번부터 생겼어?	0	0
44	낼 경영과 사회 ㄹㅅㅇ	3분 전	대면 맞지??	0	0
45	원가회계 공부하신분.,	4분 전	전 5장이 너무 어렵습니다..	0	0
46	공.부.시.러.	4분 전	하.기.시.러	0	1
47	사회적가치와개인의자유	6분 전	교수님 저 걍 안할게여 암기가 너무 싫어여 죄송해여 전공이 저 재밌어서.. 이거 못하겠어요	0	0
48	내일 투자론 ㅈㅎㄱ교수님꺼 포기안한 사람?	7분 전	나는 포기한 사람 ㅎㅎ	0	0
49	공2 쪽문에서 지갑잃어리신분	7분 전	02년생 김다혜씨 쪽지주세요~	0	0
50	잘 하는 게 없으면	8분 전	일단 돈이라도 버는 게 맞지?	0	0
51	근데왜	8분 전	올해는 월드컵을 겨울에해 춥게	0	2
52	쪽문에 붕어빵	8분 전	오늘도 있나요?	0	2
53	그 핫게 교수님 냥이	10분 전	입양하면 소식 올려주라...! 부탁해 너무 망충하고 하찮아서 귀엽더라... 아기고양이...	0	0
54	나같은 스타일있나?	10분 전	공부할때 개념이나 원리 같은건 이해 잘하고 증명이나 유도과정도 혼자 끄적이면서 이해 잘하는데 막상 문제 주어지면 쓰는걸 잘 못함 ㅠㅠ 그래서 개	0	3
55	행정학개론	11분 전	ㅇㅅㄱ교수님 화요일 수업하는 거 맞지?	0	0
56	디자인과 생활	12분 전	디자인과 생활 중간고사 보나요 ??????	0	0
57	나랑 랜소 예행연습할사람?	13분 전	쪽지줘~	0	1
58	24년 전역	14분 전	오긴 오냐	1	11
59	여친 ㅈㄴ질리는데 헤어질 구실좀..	16분 전	너무 애같아서 정 다 털림 초딩 만나는 느낌	0	10
60	도서관인사람	17분 전	공부끝나고 12시에 같이 집갈사람 구해요~!	0	4
61	운동종목 남/여 차이	17분 전	거의 앵간한 운동 종목에서 남자가 여자보다 운동성능이 훨씬 월등하잖아 체격 차이라든지 폭발적인 힘 차이라든지 여러 이유에서! 남여 격차가 많이 	0	25
62	영어 발음기호	18분 전	나만 볼줄몰라…? 난 안배웠는데	0	3
63	분리수거 막 하는 애들은	23분 전	교육 못 받은거임? 분리수거 방법을 몰라도 저렇게 까지는 안할텐데 왜 저렇게 하는지 참 궁금하네	0	5
64	티빙 한 자리 남는 사람	25분 전	딱 한 달만 하고 싶어 껴 줘..	0	3
65	배우 김유정	25분 전	은 남자들한테 인기 많음? 내 눈엔 되게 예쁜데	0	11
66	이거 다들 어떻게 생각함??	27분 전	난 존나 사회성 결여 + 쿨한척하는 사람같다고 생각함	0	15
67	나처럼 생각하는 사람있냐	29분 전	주변 보면 악착같이 돈 모으고 아끼는 사람들이 종종 있는데   나는 젊을때 대충 이십초반까지는 돈 모으기 보다는  사고 싶은거 사거나 여행 다니	0	12
68	진지하게 와꾸 궁금하다	31분 전	방구석에서 허벅지 긁지말고 앞에서 씨부려봐 너땜에 한남소리 듣지 ㅂ1신아	0	6
69	우리 형 밭대 17학번	31분 전	나랑 수능 성적 비슷함	0	4
70	라인 오랜만에 깔았는데	33분 전	카톡 때문에 깔았는데  몇 명 이성 친구들 어렸을 때 설정해둔 프로필 사진 다 보임 .. 흑역사도 몇 명 있어 보이고 ㅋㅋㅋㅋ 개웃겨	0	2
71	언교원 영어회화 들을만 할까요	36분 전	고민되네ㅠ	0	8
72	의치수약간 1학년으로 보내주면	36분 전	가니? 타전공생들만	0	12
73	5동 쓰레기장 진짜 누구냐	37분 전	짜장면 엎어놓고 튄거 싸대기 마렵네	1	0
74	복학생인데 공부해도 잘 모르겠다	38분 전	복학하니까 회계나 채권같이 계산하는건 감이 안잡힘 경상대는 시험 망치면 F주는곳 많음?	0	2
75	작년에 ㅇㅅㅇ교수님 생화학 들으신분 계신가요?	38분 전	??	0	5
76	법학개론 ㅇㅇㅅ교수님	41분 전	내일 대면이야...?	0	1
77	마케팅관리 ㄱㅎㅈ 교수님	41분 전	필기 구해봅니다..ㅠㅠ	0	2
78	너네 시험 전날에 교양	44분 전	대충 몇시간 보고 가냐??	0	3
79	해치웟나??	45분 전	경제학과 아니라서 잘모르겟다	0	1
80	내가 이제 26살인데	방금	그동안 3천정도 모아둔 돈이 있는데  20대 초반을 보내면서 하고 싶은거 다해보면서 돈을 500정도 남기고 다 썼거든.  해외나가서 외국사람들이	0	1
81	치킨빼고 치즈볼만 먹고싶다	2분 전	ㅠㅅㅠ	0	0
82	지금 학교 다니는 남자 21학번은	2분 전	군대 안간거누	0	2
83	약대	3분 전	학부몇학번부터 생겼어?	0	0
84	낼 경영과 사회 ㄹㅅㅇ	3분 전	대면 맞지??	0	0
85	원가회계 공부하신분.,	4분 전	전 5장이 너무 어렵습니다..	0	0
86	공.부.시.러.	4분 전	하.기.시.러	0	1
87	사회적가치와개인의자유	6분 전	교수님 저 걍 안할게여 암기가 너무 싫어여 죄송해여 전공이 저 재밌어서.. 이거 못하겠어요	0	0
88	내일 투자론 ㅈㅎㄱ교수님꺼 포기안한 사람?	7분 전	나는 포기한 사람 ㅎㅎ	0	0
89	공2 쪽문에서 지갑잃어리신분	7분 전	02년생 김다혜씨 쪽지주세요~	0	0
90	잘 하는 게 없으면	8분 전	일단 돈이라도 버는 게 맞지?	0	0
91	근데왜	8분 전	올해는 월드컵을 겨울에해 춥게	0	2
92	쪽문에 붕어빵	8분 전	오늘도 있나요?	0	2
93	그 핫게 교수님 냥이	10분 전	입양하면 소식 올려주라...! 부탁해 너무 망충하고 하찮아서 귀엽더라... 아기고양이...	0	0
94	나같은 스타일있나?	10분 전	공부할때 개념이나 원리 같은건 이해 잘하고 증명이나 유도과정도 혼자 끄적이면서 이해 잘하는데 막상 문제 주어지면 쓰는걸 잘 못함 ㅠㅠ 그래서 개	0	3
95	행정학개론	11분 전	ㅇㅅㄱ교수님 화요일 수업하는 거 맞지?	0	0
96	디자인과 생활	12분 전	디자인과 생활 중간고사 보나요 ??????	0	0
97	나랑 랜소 예행연습할사람?	13분 전	쪽지줘~	0	1
98	24년 전역	14분 전	오긴 오냐	1	11
99	여친 ㅈㄴ질리는데 헤어질 구실좀..	16분 전	너무 애같아서 정 다 털림 초딩 만나는 느낌	0	10
100	도서관인사람	17분 전	공부끝나고 12시에 같이 집갈사람 구해요~!	0	4
101	운동종목 남/여 차이	17분 전	거의 앵간한 운동 종목에서 남자가 여자보다 운동성능이 훨씬 월등하잖아 체격 차이라든지 폭발적인 힘 차이라든지 여러 이유에서! 남여 격차가 많이 	0	25
102	영어 발음기호	18분 전	나만 볼줄몰라…? 난 안배웠는데	0	3
103	분리수거 막 하는 애들은	23분 전	교육 못 받은거임? 분리수거 방법을 몰라도 저렇게 까지는 안할텐데 왜 저렇게 하는지 참 궁금하네	0	5
104	티빙 한 자리 남는 사람	25분 전	딱 한 달만 하고 싶어 껴 줘..	0	3
105	배우 김유정	25분 전	은 남자들한테 인기 많음? 내 눈엔 되게 예쁜데	0	11
106	이거 다들 어떻게 생각함??	27분 전	난 존나 사회성 결여 + 쿨한척하는 사람같다고 생각함	0	15
107	나처럼 생각하는 사람있냐	29분 전	주변 보면 악착같이 돈 모으고 아끼는 사람들이 종종 있는데   나는 젊을때 대충 이십초반까지는 돈 모으기 보다는  사고 싶은거 사거나 여행 다니	0	12
108	진지하게 와꾸 궁금하다	31분 전	방구석에서 허벅지 긁지말고 앞에서 씨부려봐 너땜에 한남소리 듣지 ㅂ1신아	0	6
109	우리 형 밭대 17학번	31분 전	나랑 수능 성적 비슷함	0	4
110	라인 오랜만에 깔았는데	33분 전	카톡 때문에 깔았는데  몇 명 이성 친구들 어렸을 때 설정해둔 프로필 사진 다 보임 .. 흑역사도 몇 명 있어 보이고 ㅋㅋㅋㅋ 개웃겨	0	2
111	언교원 영어회화 들을만 할까요	36분 전	고민되네ㅠ	0	8
112	의치수약간 1학년으로 보내주면	36분 전	가니? 타전공생들만	0	12
113	5동 쓰레기장 진짜 누구냐	37분 전	짜장면 엎어놓고 튄거 싸대기 마렵네	1	0
114	복학생인데 공부해도 잘 모르겠다	38분 전	복학하니까 회계나 채권같이 계산하는건 감이 안잡힘 경상대는 시험 망치면 F주는곳 많음?	0	2
115	작년에 ㅇㅅㅇ교수님 생화학 들으신분 계신가요?	38분 전	??	0	5
116	법학개론 ㅇㅇㅅ교수님	41분 전	내일 대면이야...?	0	1
117	마케팅관리 ㄱㅎㅈ 교수님	41분 전	필기 구해봅니다..ㅠㅠ	0	2
118	너네 시험 전날에 교양	44분 전	대충 몇시간 보고 가냐??	0	3
119	해치웟나??	45분 전	경제학과 아니라서 잘모르겟다	0	1
120	내가 이제 26살인데	방금	그동안 3천정도 모아둔 돈이 있는데  20대 초반을 보내면서 하고 싶은거 다해보면서 돈을 500정도 남기고 다 썼거든.  해외나가서 외국사람들이	0	1
121	치킨빼고 치즈볼만 먹고싶다	2분 전	ㅠㅅㅠ	0	0
122	지금 학교 다니는 남자 21학번은	2분 전	군대 안간거누	0	2
123	약대	3분 전	학부몇학번부터 생겼어?	0	0
124	낼 경영과 사회 ㄹㅅㅇ	3분 전	대면 맞지??	0	0
125	원가회계 공부하신분.,	4분 전	전 5장이 너무 어렵습니다..	0	0
126	공.부.시.러.	4분 전	하.기.시.러	0	1
127	사회적가치와개인의자유	6분 전	교수님 저 걍 안할게여 암기가 너무 싫어여 죄송해여 전공이 저 재밌어서.. 이거 못하겠어요	0	0
128	내일 투자론 ㅈㅎㄱ교수님꺼 포기안한 사람?	7분 전	나는 포기한 사람 ㅎㅎ	0	0
129	공2 쪽문에서 지갑잃어리신분	7분 전	02년생 김다혜씨 쪽지주세요~	0	0
130	잘 하는 게 없으면	8분 전	일단 돈이라도 버는 게 맞지?	0	0
131	근데왜	8분 전	올해는 월드컵을 겨울에해 춥게	0	2
132	쪽문에 붕어빵	8분 전	오늘도 있나요?	0	2
133	그 핫게 교수님 냥이	10분 전	입양하면 소식 올려주라...! 부탁해 너무 망충하고 하찮아서 귀엽더라... 아기고양이...	0	0
134	나같은 스타일있나?	10분 전	공부할때 개념이나 원리 같은건 이해 잘하고 증명이나 유도과정도 혼자 끄적이면서 이해 잘하는데 막상 문제 주어지면 쓰는걸 잘 못함 ㅠㅠ 그래서 개	0	3
135	행정학개론	11분 전	ㅇㅅㄱ교수님 화요일 수업하는 거 맞지?	0	0
136	디자인과 생활	12분 전	디자인과 생활 중간고사 보나요 ??????	0	0
137	나랑 랜소 예행연습할사람?	13분 전	쪽지줘~	0	1
138	24년 전역	14분 전	오긴 오냐	1	11
139	여친 ㅈㄴ질리는데 헤어질 구실좀..	16분 전	너무 애같아서 정 다 털림 초딩 만나는 느낌	0	10
140	도서관인사람	18분 전	공부끝나고 12시에 같이 집갈사람 구해요~!	0	4
141	운동종목 남/여 차이	18분 전	거의 앵간한 운동 종목에서 남자가 여자보다 운동성능이 훨씬 월등하잖아 체격 차이라든지 폭발적인 힘 차이라든지 여러 이유에서! 남여 격차가 많이 	0	25
142	영어 발음기호	19분 전	나만 볼줄몰라…? 난 안배웠는데	0	3
143	분리수거 막 하는 애들은	24분 전	교육 못 받은거임? 분리수거 방법을 몰라도 저렇게 까지는 안할텐데 왜 저렇게 하는지 참 궁금하네	0	5
144	티빙 한 자리 남는 사람	26분 전	딱 한 달만 하고 싶어 껴 줘..	0	3
145	배우 김유정	26분 전	은 남자들한테 인기 많음? 내 눈엔 되게 예쁜데	0	11
146	이거 다들 어떻게 생각함??	28분 전	난 존나 사회성 결여 + 쿨한척하는 사람같다고 생각함	0	15
147	나처럼 생각하는 사람있냐	30분 전	주변 보면 악착같이 돈 모으고 아끼는 사람들이 종종 있는데   나는 젊을때 대충 이십초반까지는 돈 모으기 보다는  사고 싶은거 사거나 여행 다니	0	12
148	진지하게 와꾸 궁금하다	32분 전	방구석에서 허벅지 긁지말고 앞에서 씨부려봐 너땜에 한남소리 듣지 ㅂ1신아	0	6
149	우리 형 밭대 17학번	32분 전	나랑 수능 성적 비슷함	0	4
150	라인 오랜만에 깔았는데	34분 전	카톡 때문에 깔았는데  몇 명 이성 친구들 어렸을 때 설정해둔 프로필 사진 다 보임 .. 흑역사도 몇 명 있어 보이고 ㅋㅋㅋㅋ 개웃겨	0	2
151	언교원 영어회화 들을만 할까요	37분 전	고민되네ㅠ	0	8
152	의치수약간 1학년으로 보내주면	37분 전	가니? 타전공생들만	0	12
153	5동 쓰레기장 진짜 누구냐	38분 전	짜장면 엎어놓고 튄거 싸대기 마렵네	1	0
154	복학생인데 공부해도 잘 모르겠다	39분 전	복학하니까 회계나 채권같이 계산하는건 감이 안잡힘 경상대는 시험 망치면 F주는곳 많음?	0	2
155	작년에 ㅇㅅㅇ교수님 생화학 들으신분 계신가요?	39분 전	??	0	5
156	법학개론 ㅇㅇㅅ교수님	42분 전	내일 대면이야...?	0	1
157	마케팅관리 ㄱㅎㅈ 교수님	42분 전	필기 구해봅니다..ㅠㅠ	0	2
158	너네 시험 전날에 교양	45분 전	대충 몇시간 보고 가냐??	0	3
159	해치웟나??	46분 전	경제학과 아니라서 잘모르겟다	0	1
160	내가 이제 26살인데	2분 전	그동안 3천정도 모아둔 돈이 있는데  20대 초반을 보내면서 하고 싶은거 다해보면서 돈을 500정도 남기고 다 썼거든.  해외나가서 외국사람들이	0	1
161	치킨빼고 치즈볼만 먹고싶다	3분 전	ㅠㅅㅠ	0	0
162	지금 학교 다니는 남자 21학번은	3분 전	군대 안간거누	0	2
163	약대	4분 전	학부몇학번부터 생겼어?	0	0
164	낼 경영과 사회 ㄹㅅㅇ	4분 전	대면 맞지??	0	0
165	원가회계 공부하신분.,	5분 전	전 5장이 너무 어렵습니다..	0	0
166	공.부.시.러.	5분 전	하.기.시.러	0	1
167	사회적가치와개인의자유	7분 전	교수님 저 걍 안할게여 암기가 너무 싫어여 죄송해여 전공이 저 재밌어서.. 이거 못하겠어요	0	0
168	내일 투자론 ㅈㅎㄱ교수님꺼 포기안한 사람?	8분 전	나는 포기한 사람 ㅎㅎ	0	0
169	공2 쪽문에서 지갑잃어리신분	8분 전	02년생 김다혜씨 쪽지주세요~	0	0
170	잘 하는 게 없으면	9분 전	일단 돈이라도 버는 게 맞지?	0	0
171	근데왜	9분 전	올해는 월드컵을 겨울에해 춥게	0	2
172	쪽문에 붕어빵	9분 전	오늘도 있나요?	0	2
173	그 핫게 교수님 냥이	11분 전	입양하면 소식 올려주라...! 부탁해 너무 망충하고 하찮아서 귀엽더라... 아기고양이...	0	0
174	나같은 스타일있나?	11분 전	공부할때 개념이나 원리 같은건 이해 잘하고 증명이나 유도과정도 혼자 끄적이면서 이해 잘하는데 막상 문제 주어지면 쓰는걸 잘 못함 ㅠㅠ 그래서 개	0	3
175	행정학개론	12분 전	ㅇㅅㄱ교수님 화요일 수업하는 거 맞지?	0	0
176	디자인과 생활	13분 전	디자인과 생활 중간고사 보나요 ??????	0	0
177	나랑 랜소 예행연습할사람?	14분 전	쪽지줘~	0	1
178	24년 전역	15분 전	오긴 오냐	1	11
179	여친 ㅈㄴ질리는데 헤어질 구실좀..	17분 전	너무 애같아서 정 다 털림 초딩 만나는 느낌	0	10
180	도서관인사람	18분 전	공부끝나고 12시에 같이 집갈사람 구해요~!	0	4
181	운동종목 남/여 차이	18분 전	거의 앵간한 운동 종목에서 남자가 여자보다 운동성능이 훨씬 월등하잖아 체격 차이라든지 폭발적인 힘 차이라든지 여러 이유에서! 남여 격차가 많이 	0	25
182	영어 발음기호	19분 전	나만 볼줄몰라…? 난 안배웠는데	0	3
183	분리수거 막 하는 애들은	24분 전	교육 못 받은거임? 분리수거 방법을 몰라도 저렇게 까지는 안할텐데 왜 저렇게 하는지 참 궁금하네	0	5
184	티빙 한 자리 남는 사람	26분 전	딱 한 달만 하고 싶어 껴 줘..	0	3
185	배우 김유정	26분 전	은 남자들한테 인기 많음? 내 눈엔 되게 예쁜데	0	11
186	이거 다들 어떻게 생각함??	28분 전	난 존나 사회성 결여 + 쿨한척하는 사람같다고 생각함	0	15
187	나처럼 생각하는 사람있냐	30분 전	주변 보면 악착같이 돈 모으고 아끼는 사람들이 종종 있는데   나는 젊을때 대충 이십초반까지는 돈 모으기 보다는  사고 싶은거 사거나 여행 다니	0	12
188	진지하게 와꾸 궁금하다	32분 전	방구석에서 허벅지 긁지말고 앞에서 씨부려봐 너땜에 한남소리 듣지 ㅂ1신아	0	6
189	우리 형 밭대 17학번	32분 전	나랑 수능 성적 비슷함	0	4
190	라인 오랜만에 깔았는데	34분 전	카톡 때문에 깔았는데  몇 명 이성 친구들 어렸을 때 설정해둔 프로필 사진 다 보임 .. 흑역사도 몇 명 있어 보이고 ㅋㅋㅋㅋ 개웃겨	0	2
191	언교원 영어회화 들을만 할까요	37분 전	고민되네ㅠ	0	8
192	의치수약간 1학년으로 보내주면	37분 전	가니? 타전공생들만	0	12
193	5동 쓰레기장 진짜 누구냐	38분 전	짜장면 엎어놓고 튄거 싸대기 마렵네	1	0
194	복학생인데 공부해도 잘 모르겠다	39분 전	복학하니까 회계나 채권같이 계산하는건 감이 안잡힘 경상대는 시험 망치면 F주는곳 많음?	0	2
195	작년에 ㅇㅅㅇ교수님 생화학 들으신분 계신가요?	39분 전	??	0	5
196	법학개론 ㅇㅇㅅ교수님	42분 전	내일 대면이야...?	0	1
197	마케팅관리 ㄱㅎㅈ 교수님	42분 전	필기 구해봅니다..ㅠㅠ	0	2
198	너네 시험 전날에 교양	45분 전	대충 몇시간 보고 가냐??	0	3
199	해치웟나??	46분 전	경제학과 아니라서 잘모르겟다	0	1
200	내가 이제 26살인데	2분 전	그동안 3천정도 모아둔 돈이 있는데  20대 초반을 보내면서 하고 싶은거 다해보면서 돈을 500정도 남기고 다 썼거든.  해외나가서 외국사람들이	0	2
201	치킨빼고 치즈볼만 먹고싶다	3분 전	ㅠㅅㅠ	0	0
202	지금 학교 다니는 남자 21학번은	3분 전	군대 안간거누	0	2
203	약대	4분 전	학부몇학번부터 생겼어?	0	0
204	낼 경영과 사회 ㄹㅅㅇ	4분 전	대면 맞지??	0	0
205	원가회계 공부하신분.,	5분 전	전 5장이 너무 어렵습니다..	0	0
206	공.부.시.러.	5분 전	하.기.시.러	0	1
207	사회적가치와개인의자유	7분 전	교수님 저 걍 안할게여 암기가 너무 싫어여 죄송해여 전공이 저 재밌어서.. 이거 못하겠어요	0	0
208	내일 투자론 ㅈㅎㄱ교수님꺼 포기안한 사람?	8분 전	나는 포기한 사람 ㅎㅎ	0	0
209	공2 쪽문에서 지갑잃어리신분	8분 전	02년생 김다혜씨 쪽지주세요~	0	0
210	잘 하는 게 없으면	9분 전	일단 돈이라도 버는 게 맞지?	0	0
211	근데왜	9분 전	올해는 월드컵을 겨울에해 춥게	0	2
212	쪽문에 붕어빵	9분 전	오늘도 있나요?	0	2
213	그 핫게 교수님 냥이	11분 전	입양하면 소식 올려주라...! 부탁해 너무 망충하고 하찮아서 귀엽더라... 아기고양이...	0	0
214	나같은 스타일있나?	11분 전	공부할때 개념이나 원리 같은건 이해 잘하고 증명이나 유도과정도 혼자 끄적이면서 이해 잘하는데 막상 문제 주어지면 쓰는걸 잘 못함 ㅠㅠ 그래서 개	0	3
215	행정학개론	12분 전	ㅇㅅㄱ교수님 화요일 수업하는 거 맞지?	0	0
216	디자인과 생활	13분 전	디자인과 생활 중간고사 보나요 ??????	0	0
217	나랑 랜소 예행연습할사람?	14분 전	쪽지줘~	0	1
218	24년 전역	15분 전	오긴 오냐	1	11
219	여친 ㅈㄴ질리는데 헤어질 구실좀..	17분 전	너무 애같아서 정 다 털림 초딩 만나는 느낌	0	10
220	도서관인사람	18분 전	공부끝나고 12시에 같이 집갈사람 구해요~!	0	4
221	운동종목 남/여 차이	18분 전	거의 앵간한 운동 종목에서 남자가 여자보다 운동성능이 훨씬 월등하잖아 체격 차이라든지 폭발적인 힘 차이라든지 여러 이유에서! 남여 격차가 많이 	0	25
222	영어 발음기호	19분 전	나만 볼줄몰라…? 난 안배웠는데	0	3
223	분리수거 막 하는 애들은	24분 전	교육 못 받은거임? 분리수거 방법을 몰라도 저렇게 까지는 안할텐데 왜 저렇게 하는지 참 궁금하네	0	5
224	티빙 한 자리 남는 사람	26분 전	딱 한 달만 하고 싶어 껴 줘..	0	3
225	배우 김유정	26분 전	은 남자들한테 인기 많음? 내 눈엔 되게 예쁜데	0	11
226	이거 다들 어떻게 생각함??	28분 전	난 존나 사회성 결여 + 쿨한척하는 사람같다고 생각함	0	15
227	나처럼 생각하는 사람있냐	30분 전	주변 보면 악착같이 돈 모으고 아끼는 사람들이 종종 있는데   나는 젊을때 대충 이십초반까지는 돈 모으기 보다는  사고 싶은거 사거나 여행 다니	0	12
228	진지하게 와꾸 궁금하다	32분 전	방구석에서 허벅지 긁지말고 앞에서 씨부려봐 너땜에 한남소리 듣지 ㅂ1신아	0	6
229	우리 형 밭대 17학번	32분 전	나랑 수능 성적 비슷함	0	4
230	라인 오랜만에 깔았는데	34분 전	카톡 때문에 깔았는데  몇 명 이성 친구들 어렸을 때 설정해둔 프로필 사진 다 보임 .. 흑역사도 몇 명 있어 보이고 ㅋㅋㅋㅋ 개웃겨	0	2
231	언교원 영어회화 들을만 할까요	37분 전	고민되네ㅠ	0	8
232	의치수약간 1학년으로 보내주면	37분 전	가니? 타전공생들만	0	12
233	5동 쓰레기장 진짜 누구냐	38분 전	짜장면 엎어놓고 튄거 싸대기 마렵네	1	0
234	복학생인데 공부해도 잘 모르겠다	39분 전	복학하니까 회계나 채권같이 계산하는건 감이 안잡힘 경상대는 시험 망치면 F주는곳 많음?	0	2
235	작년에 ㅇㅅㅇ교수님 생화학 들으신분 계신가요?	39분 전	??	0	5
236	법학개론 ㅇㅇㅅ교수님	42분 전	내일 대면이야...?	0	1
237	마케팅관리 ㄱㅎㅈ 교수님	42분 전	필기 구해봅니다..ㅠㅠ	0	2
238	너네 시험 전날에 교양	45분 전	대충 몇시간 보고 가냐??	0	3
239	해치웟나??	46분 전	경제학과 아니라서 잘모르겟다	0	1
240	내가 이제 26살인데	2분 전	그동안 3천정도 모아둔 돈이 있는데  20대 초반을 보내면서 하고 싶은거 다해보면서 돈을 500정도 남기고 다 썼거든.  해외나가서 외국사람들이	0	2
241	치킨빼고 치즈볼만 먹고싶다	3분 전	ㅠㅅㅠ	0	0
242	지금 학교 다니는 남자 21학번은	3분 전	군대 안간거누	0	2
243	약대	4분 전	학부몇학번부터 생겼어?	0	0
244	낼 경영과 사회 ㄹㅅㅇ	4분 전	대면 맞지??	0	0
245	원가회계 공부하신분.,	5분 전	전 5장이 너무 어렵습니다..	0	0
246	공.부.시.러.	5분 전	하.기.시.러	0	1
247	사회적가치와개인의자유	7분 전	교수님 저 걍 안할게여 암기가 너무 싫어여 죄송해여 전공이 저 재밌어서.. 이거 못하겠어요	0	0
248	내일 투자론 ㅈㅎㄱ교수님꺼 포기안한 사람?	8분 전	나는 포기한 사람 ㅎㅎ	0	0
