	title	etime	content	vote	comment
722	치킨빼고 치즈볼만 먹고싶다	4분 전	ㅠㅅㅠ	0	0
723	지금 학교 다니는 남자 21학번은	4분 전	군대 안간거누	0	2
724	약대	5분 전	학부몇학번부터 생겼어?	0	2
725	낼 경영과 사회 ㄹㅅㅇ	5분 전	대면 맞지??	0	0
726	원가회계 공부하신분.,	6분 전	전 5장이 너무 어렵습니다..	0	0
727	공.부.시.러.	6분 전	하.기.시.러	0	1
728	사회적가치와개인의자유	8분 전	교수님 저 걍 안할게여 암기가 너무 싫어여 죄송해여 전공이 저 재밌어서.. 이거 못하겠어요	0	0
729	내일 투자론 ㅈㅎㄱ교수님꺼 포기안한 사람?	9분 전	나는 포기한 사람 ㅎㅎ	0	0
730	공2 쪽문에서 지갑잃어리신분	9분 전	02년생 김다혜씨 쪽지주세요~	0	0
731	잘 하는 게 없으면	10분 전	일단 돈이라도 버는 게 맞지?	0	0
732	근데왜	10분 전	올해는 월드컵을 겨울에해 춥게	0	2
733	쪽문에 붕어빵	10분 전	오늘도 있나요?	0	3
734	그 핫게 교수님 냥이	12분 전	입양하면 소식 올려주라...! 부탁해 너무 망충하고 하찮아서 귀엽더라... 아기고양이...	0	0
735	나같은 스타일있나?	12분 전	공부할때 개념이나 원리 같은건 이해 잘하고 증명이나 유도과정도 혼자 끄적이면서 이해 잘하는데 막상 문제 주어지면 쓰는걸 잘 못함 ㅠㅠ 그래서 개	0	3
736	행정학개론	13분 전	ㅇㅅㄱ교수님 화요일 수업하는 거 맞지?	0	0
737	디자인과 생활	14분 전	디자인과 생활 중간고사 보나요 ??????	0	0
738	나랑 랜소 예행연습할사람?	15분 전	쪽지줘~	0	1
739	24년 전역	16분 전	오긴 오냐	1	11
740	여친 ㅈㄴ질리는데 헤어질 구실좀..	18분 전	너무 애같아서 정 다 털림 초딩 만나는 느낌	0	10
741	도서관인사람	19분 전	공부끝나고 12시에 같이 집갈사람 구해요~!	0	4
742	운동종목 남/여 차이	19분 전	거의 앵간한 운동 종목에서 남자가 여자보다 운동성능이 훨씬 월등하잖아 체격 차이라든지 폭발적인 힘 차이라든지 여러 이유에서! 남여 격차가 많이 	0	27
743	영어 발음기호	20분 전	나만 볼줄몰라…? 난 안배웠는데	0	3
744	분리수거 막 하는 애들은	25분 전	교육 못 받은거임? 분리수거 방법을 몰라도 저렇게 까지는 안할텐데 왜 저렇게 하는지 참 궁금하네	0	5
745	티빙 한 자리 남는 사람	27분 전	딱 한 달만 하고 싶어 껴 줘..	0	3
746	배우 김유정	27분 전	은 남자들한테 인기 많음? 내 눈엔 되게 예쁜데	0	11
747	이거 다들 어떻게 생각함??	29분 전	난 존나 사회성 결여 + 쿨한척하는 사람같다고 생각함	0	15
748	나처럼 생각하는 사람있냐	31분 전	주변 보면 악착같이 돈 모으고 아끼는 사람들이 종종 있는데   나는 젊을때 대충 이십초반까지는 돈 모으기 보다는  사고 싶은거 사거나 여행 다니	0	12
749	진지하게 와꾸 궁금하다	33분 전	방구석에서 허벅지 긁지말고 앞에서 씨부려봐 너땜에 한남소리 듣지 ㅂ1신아	0	6
750	우리 형 밭대 17학번	33분 전	나랑 수능 성적 비슷함	0	4
